지역,국가,대학명,유형,한국학제공형태학사,한국학제공형태석사,한국학제공형태박사,한국학제공형태교양어학원,한국학제공형태세종학당,한국학제공형태코리아코너
동남아,베트남,FPT대학교-껀더캠퍼스,사립,Y,N,N,Y,Y,N
서유럽,프랑스,ISC파리경영대학교,사립,N,N,N,Y,N,N
서유럽,영국,SOAS 런던대학교,국립,Y,Y,N,N,N,N
동북아,일본,가가와대학교,국립,N,N,N,Y,N,N
동북아,일본,가고시마국제대학교,사립,N,N,N,Y,N,N
동북아,일본,가고시마대학교,국립,N,N,N,Y,N,N
동북아,일본,가나가와대학교,사립,N,N,N,Y,N,N
동북아,일본,가나가와현립복지대학교,국립,N,N,N,Y,N,N
동북아,일본,가나자와대학,국립,N,N,N,Y,N,N
동북아,일본,가나자와세이료대학교,기타,N,N,N,Y,N,N
동북아,일본,가나자와학원대학교,사립,N,N,N,Y,N,N
동북아,일본,가노야체육대학교,국립,N,N,N,Y,N,N
남미,볼리비아,가브리엘레네모레노자치대학교,국립,N,N,N,Y,N,N
동북아,일본,가와무라학원여자대학교,사립,N,N,N,Y,N,N
동남아,인도네시아,가자마다대학교,국립,Y,N,N,N,N,N
동북아,일본,가쿠슈인대학교,사립,N,N,N,Y,N,N
동북아,일본,가쿠슈인여자대학교,기타,N,N,N,Y,N,N
동북아,일본,간다외국어대학,사립,Y,N,N,Y,Y,N
동북아,일본,간사이국제대학교,사립,N,N,N,Y,N,N
동북아,일본,간사이대학교,사립,N,N,N,Y,N,N
동북아,일본,간사이외국어대학교,사립,N,N,N,Y,N,N
동북아,일본,간사이의과대학,사립,N,N,N,Y,N,N
동북아,일본,간사이학원대학,사립,N,N,N,Y,N,N
동북아,일본,간토학원대학교,사립,Y,N,N,Y,N,N
동북아,일본,갓스이여자대학교,사립,N,N,N,Y,N,N
동북아,일본,게이센여학원대학교,기타,N,N,N,Y,N,N
동북아,일본,게이아이대학교,사립,N,N,N,Y,N,N
동북아,일본,게이오대학교,사립,Y,Y,Y,N,Y,N
동북아,일본,게이와학원대학교,기타,N,N,N,Y,N,N
서유럽,벨기에,겐트대학교,국립,N,N,N,Y,N,N
동북아,일본,고난대학교,사립,N,N,N,Y,N,N
동북아,일본,고리야마여자대학교,사립,N,N,N,Y,N,N
동북아,일본,고베국제대학교,사립,N,N,N,Y,N,N
동북아,일본,고베대학교,국립,N,N,N,Y,N,N
동북아,일본,고베쇼인여자대학교,,N,N,N,Y,N,N
동북아,일본,고베시외국어대학교,국립,N,N,N,Y,N,N
동북아,일본,고베신와여자대학교,사립,N,N,N,Y,N,N
동북아,일본,고베야마테대학교,사립,N,N,N,Y,N,N
동북아,일본,고베여자대학교,사립,N,N,N,Y,N,N
동북아,일본,고베학원대학교,사립,N,N,N,Y,N,N
동북아,일본,고시엔대학교,사립,N,N,N,Y,N,N
동북아,일본,고치대학교,국립,N,N,N,Y,N,N
동북아,일본,고쿠사이크리스트교대학,사립,N,N,N,Y,N,N
동북아,일본,고쿠시칸대학교,사립,Y,N,N,Y,N,N
중미카리브,멕시코,과달라하라대학교,국립,N,N,N,Y,N,N
중미카리브,과테말라,과테말라산카를로스대학교,국립,N,N,N,Y,N,N
북미,미국,괌대학교,국립,N,N,N,Y,N,N
북미,미국,괌커뮤니티칼리지,국립,Y,N,N,N,N,N
동북아,중국,광둥건설직업기술학원,국립,Y,N,N,N,N,N
동북아,중국,광둥공무직업기술학원,,Y,N,N,N,N,N
동북아,중국,광둥남화공상직업학원,국립,Y,N,N,N,N,N
동북아,중국,광둥문예직업학원,,N,N,N,Y,N,N
동북아,중국,광둥백운학원,사립,Y,N,N,Y,N,N
동북아,중국,광둥영남직업기술학원,사립,Y,N,N,N,N,N
동북아,중국,광둥외어외무대학교,,Y,N,N,N,N,N
동북아,중국,광시사범대학교,국립,Y,Y,N,N,Y,N
동북아,중국,광저우남방학원,,Y,N,N,N,N,N
동북아,중국,광저우섭외경제직업기술학원,,Y,N,N,N,N,N
동북아,중국,광저우성건직업학교,,Y,N,N,N,N,N
중유럽,독일,괴팅겐대학교,국립,N,N,N,Y,N,Y
동북아,일본,교리츠여자대학교,,N,N,N,Y,N,N
동북아,일본,교린대학교,사립,N,N,N,Y,N,N
동북아,일본,교아이학원마에바시국제대학교,사립,N,N,N,Y,N,N
동북아,일본,교에이대학교,사립,N,N,N,Y,N,N
동북아,일본,교토노틀담여자대학교,사립,N,N,N,Y,N,N
동북아,일본,교토대학교,국립,Y,Y,Y,Y,Y,N
동북아,일본,교토부립대학교,국립,N,N,N,Y,N,N
동북아,일본,교토분쿄대학교,사립,N,N,N,Y,N,N
동북아,일본,교토산업대학교,사립,Y,N,N,N,N,N
동북아,일본,교토세이카대학,사립,N,N,N,Y,N,N
동북아,일본,교토여자대학교,사립,N,N,N,Y,N,N
동북아,일본,교토외국어대학교,사립,N,N,N,Y,N,N
