지역,국가명,연도,원,달러
국제기구,AIT아시아공과대학,1991,37260000,48975
국제기구,ANC아프리카민족회의,1991,32268000,42413
국제기구,APSDEP아태지역기능개발계획ILO,1991,138244000,181709
국제기구,AfDF아프리카개발기금,1991,146576000,192660
국제기구,CPSC콜롬보플랜기술대학,1991,28468000,37419
국제기구,UNESCAP아시아태평양경제사회위원회,1991,7331000,9636
국제기구,UNESCO유엔교육과학문화기구,1991,146623000,192722
기타,일반,1991,4862821000,6391721
동구 및 CIS,러시아,1991,85965380,112993
동구 및 CIS,루마니아,1991,186167009,244699
동구 및 CIS,몰타,1991,2282362,3000
동구 및 CIS,불가리아,1991,82303806,108181
동구 및 CIS,알바니아,1991,76758548,100892
동구 및 CIS,유고슬라비아,1991,18112677,23807
동구 및 CIS,체코,1991,57334811,75361
동구 및 CIS,터키,1991,7597148,9986
동구 및 CIS,폴란드,1991,28911589,38002
동구 및 CIS,헝가리,1991,22602079,29708
아시아,네팔,1991,208318511,273815
아시아,대만,1991,2626811,3453
아시아,라오스,1991,3741097,4917
아시아,말레이시아,1991,145380449,191089
아시아,몰디브,1991,85007000,111734
아시아,몽골,1991,1129064245,1484049
아시아,미얀마,1991,175959501,231282
아시아,방글라데시,1991,148262030,194876
아시아,베트남,1991,15822354,20797
아시아,부탄,1991,169320934,222556
아시아,스리랑카,1991,301549743,396359
아시아,아프가니스탄,1991,73312000,96362
아시아,인도,1991,19941354,26211
아시아,인도네시아,1991,251648128,330768
아시아,중국,1991,232145182,305133
아시아,캄보디아,1991,21993000,28908
아시아,태국,1991,147865663,194355
아시아,파키스탄,1991,140208511,184291
아시아,필리핀,1991,351887142,462523
아프리카,가나,1991,147944360,194459
아프리카,가봉,1991,41051000,53958
아프리카,감비아,1991,50883000,66881
아프리카,기니비사우,1991,58163000,76450
아프리카,나미비아,1991,112625687,148036
아프리카,나이지리아,1991,37523662,49321
아프리카,니제르,1991,268045000,352320
아프리카,라이베리아,1991,5498517,7227
아프리카,레소토,1991,128798517,169294
아프리카,르완다,1991,96428039,126746
아프리카,리비아,1991,26913441,35375
아프리카,말라위,1991,103766340,136391
아프리카,말리,1991,72557000,95369
아프리카,모로코,1991,73312000,96362
아프리카,모리셔스,1991,63637233,83645
아프리카,모리타니,1991,177163264,232864
아프리카,베냉,1991,61299000,80572
아프리카,보츠와나,1991,56842250,74714
아프리카,부르키나파소,1991,35667000,46881
아프리카,상투메프린시페,1991,27164000,35705
아프리카,세네갈,1991,179648039,236130
아프리카,소말리아,1991,26612000,34979
아프리카,수단,1991,141560494,186068
아프리카,스와질랜드,1991,175491034,230666
아프리카,시에라리온,1991,87512000,115026
아프리카,앙골라,1991,6321039,8308
아프리카,에티오피아,1991,266318837,350051
아프리카,우간다,1991,181391233,238422
아프리카,이집트,1991,46186695,60708
아프리카,잠비아,1991,108048340,142019
아프리카,적도기니,1991,57468233,75537
아프리카,중앙아프리카,1991,201299000,264589
아프리카,지부티,1991,53755000,70656
아프리카,짐바브웨,1991,3741097,4917
아프리카,차드,1991,51318000,67453
아프리카,카메룬,1991,170393193,223966
아프리카,카보베르데,1991,64312000,84532
아프리카,케냐,1991,197955995,260195
아프리카,코모로,1991,43129000,56689
아프리카,코트디부아르,1991,218345069,286994
아프리카,콩고 민주공화국,1991,160362904,210782
아프리카,콩고공화국,1991,108047556,142018
아프리카,튀니지,1991,35129226,46174
오세아니아,바누아투,1991,42905000,56395
오세아니아,사모아,1991,122414000,160902
오세아니아,솔로몬군도,1991,40191000,52827
오세아니아,쿡제도,1991,46278000,60828
오세아니아,키리바시,1991,44374233,58326
오세아니아,통가,1991,48479655,63722
오세아니아,투발루,1991,53443632,70247
오세아니아,파푸아뉴기니,1991,144032122,189317
오세아니아,팔라우,1991,4918632,6465
오세아니아,피지,1991,121395539,159563
중남미,가이아나,1991,102817052,135143
중남미,과테말라,1991,108500194,142613
중남미,그레나다,1991,36086000,47432
중남미,니카라과,1991,333884234,438859
중남미,도미니카공화국,1991,99748315,131110
중남미,도미니카연방,1991,25348097,33318
중남미,멕시코,1991,29063607,38201
중남미,바베이도스,1991,67566463,88810
중남미,바하마,1991,29300000,38512
중남미,베네수엘라,1991,10369669,13630
중남미,벨리즈,1991,65901000,86621
중남미,볼리비아,1991,156784885,206079
중남미,브라질,1991,2366124,3110
중남미,세인트루시아,1991,28736000,37771
중남미,세인트빈센트,1991,27399000,36013
중남미,세인트킷츠네비스,1991,29094000,38241
중남미,수리남,1991,75706340,99509
중남미,아이티,1991,3614837,4751
중남미,안티구아바부다,1991,21653000,28461
중남미,에콰도르,1991,151506432,199141
중남미,엘살바도르,1991,110748584,145569
중남미,온두라스,1991,81833002,107562
중남미,우루과이,1991,61500990,80837
중남미,자메이카,1991,135886671,178610
중남미,칠레,1991,6398163,8410
중남미,코스타리카,1991,157647677,207213
중남미,콜롬비아,1991,141686388,186233
중남미,트리니다드토바고,1991,82252575,108113
중남미,파나마,1991,146657315,192767
중남미,파라과이,1991,163602432,215040
중남미,페루,1991,180019387,236619
중동,바레인,1991,13131707,17260
중동,사우디아라비아,1991,1170315,1538
중동,아랍에미레이트,1991,6717632,8830
중동,예멘,1991,122994381,161665
중동,오만,1991,25601264,33650
중동,요르단,1991,30168340,39653
중동,이란,1991,13246757,17412
국제기구,AIT아시아공과대학,1992,52193000,66201
국제기구,ANC아프리카민족회의,1992,90643000,114971
국제기구,AfDF아프리카개발기금,1992,153706000,194959
국제기구,CPSC콜롬보플랜기술대학,1992,10924000,13856
국제기구,CP콜롬보플랜,1992,5977000,7581
국제기구,IDC국제한발회의,1992,39491000,50090
국제기구,ONCHO,1992,84535000,107223
국제기구,UNECA아프리카경제위원회,1992,39576000,50198
국제기구,UNESCAP아시아태평양경제사회위원회,1992,31384000,39807
기타,일반,1992,8816562000,11182854
동구 및 CIS,라트비아,1992,6032560,7652
동구 및 CIS,러시아,1992,82821977,105051
동구 및 CIS,루마니아,1992,141225345,179129
동구 및 CIS,리투아니아,1992,41543373,52693
동구 및 CIS,벨로루시,1992,2797731,3549
동구 및 CIS,불가리아,1992,129897248,164761
동구 및 CIS,알바니아,1992,62385323,79129
동구 및 CIS,우즈베키스탄,1992,81780948,103730
동구 및 CIS,우크라이나,1992,49577798,62884
동구 및 CIS,유고슬라비아,1992,3695254,4687
동구 및 CIS,체코,1992,77774675,98649
동구 및 CIS,카자흐스탄,1992,59324327,75246
동구 및 CIS,키르기스스탄,1992,7923000,10049
동구 및 CIS,터키,1992,44362398,56269
동구 및 CIS,폴란드,1992,42820206,54313
동구 및 CIS,헝가리,1992,36923460,46833
아시아,네팔,1992,308591990,391416
아시아,대만,1992,3565396,4522
아시아,라오스,1992,4797998,6086
아시아,말레이시아,1992,108033784,137029
아시아,몰디브,1992,36950000,46867
아시아,몽골,1992,285003699,361496
아시아,미얀마,1992,160358608,203398
아시아,방글라데시,1992,180186796,228547
아시아,베트남,1992,248944894,315760
아시아,부탄,1992,181861012,230671
아시아,스리랑카,1992,313636572,397814
아시아,아프가니스탄,1992,157267000,199476
아시아,인도,1992,54481783,69104
아시아,인도네시아,1992,977847839,1240294
아시아,중국,1992,120265803,152544
아시아,태국,1992,400725856,508277
아시아,파키스탄,1992,114103362,144728
아시아,필리핀,1992,542184545,687702
아프리카,가나,1992,139772716,177287
아프리카,가봉,1992,40766949,51708
아프리카,감비아,1992,38722000,49115
아프리카,기니비사우,1992,38561000,48910
아프리카,나미비아,1992,154025702,195365
아프리카,나이지리아,1992,37968475,48159
아프리카,니제르,1992,196747000,249552
아프리카,라이베리아,1992,2397731,3041
아프리카,레소토,1992,108181062,137216
아프리카,르완다,1992,51942000,65883
아프리카,리비아,1992,35540082,45079
아프리카,말라위,1992,88988000,112872
아프리카,말리,1992,76297000,96774
아프리카,모로코,1992,86152339,109275
아프리카,모리셔스,1992,59559760,75545
아프리카,모리타니,1992,249032208,315870
아프리카,모잠비크,1992,76442000,96958
아프리카,베냉,1992,222835203,282642
아프리카,보츠와나,1992,80924829,102644
아프리카,부룬디,1992,154802000,196350
아프리카,부르키나파소,1992,61489000,77992
아프리카,세네갈,1992,108974332,138222
아프리카,소말리아,1992,62846000,79713
아프리카,수단,1992,207716129,263465
아프리카,스와질랜드,1992,115644525,146683
아프리카,시에라리온,1992,77463000,98253
아프리카,알제리,1992,21564220,27352
아프리카,앙골라,1992,131673000,167013
아프리카,에티오피아,1992,356116273,451695
아프리카,우간다,1992,166593337,211306
아프리카,이집트,1992,244533473,310164
아프리카,잠비아,1992,125226939,158837
아프리카,중앙아프리카,1992,154915000,196493
아프리카,지부티,1992,37622000,47719
아프리카,짐바브웨,1992,8381094,10631
아프리카,차드,1992,38737000,49134
아프리카,카메룬,1992,166117339,210702
아프리카,카보베르데,1992,37206000,47192
아프리카,케냐,1992,221466647,280906
아프리카,코모로,1992,34279000,43479
아프리카,코트디부아르,1992,209449265,265664
아프리카,콩고 민주공화국,1992,152506743,193438
아프리카,콩고공화국,1992,109147440,138442
아프리카,탄자니아,1992,279895998,355018
아프리카,토고,1992,51321000,65095
아프리카,튀니지,1992,43509526,55187
오세아니아,마샬군도,1992,29613000,37561
오세아니아,마이크로네시아,1992,29613000,37561
오세아니아,사모아,1992,93292000,118331
오세아니아,솔로몬군도,1992,29676208,37641
오세아니아,쿡제도,1992,53892000,68356
오세아니아,키리바시,1992,29285604,37146
오세아니아,통가,1992,33815208,42891
오세아니아,투발루,1992,11721000,14867
오세아니아,파푸아뉴기니,1992,549967020,697574
오세아니아,팔라우,1992,5267604,6681
오세아니아,피지,1992,180494748,228938
중남미,가이아나,1992,57368000,72765
중남미,과테말라,1992,183580276,232852
중남미,그레나다,1992,20960000,26585
중남미,니카라과,1992,81152827,102934
중남미,도미니카공화국,1992,158262667,200739
중남미,도미니카연방,1992,15187000,19263
