rank,country,target_item,source_type,source_file,title,year,amount,similarity,final_score,opportunity_tags,risk_tags,recommended_action,evidence_excerpt
1,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv,동구 및 CIS 우즈베키스탄 1997 1010205159.0 1062133,1997.0,,0.1611,0.3547,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 1997 1010205159.0 1062133 1997 동구 및 CIS 우즈베키스탄 1997 1010205159.0 1062133
2,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101.csv,동구 및 CIS 우즈베키스탄 1997 1010205159.0 1062133,1997.0,,0.1611,0.3547,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101.csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 1997 1010205159.0 1062133 1997 동구 및 CIS 우즈베키스탄 1997 1010205159.0 1062133
3,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101.csv,동구 및 CIS 우즈베키스탄 2005 2882191393.0 2813788,2005.0,,0.161,0.3547,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101.csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 2005 2882191393.0 2813788 2005 동구 및 CIS 우즈베키스탄 2005 2882191393.0 2813788
4,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv,동구 및 CIS 우즈베키스탄 2005 2882191393.0 2813788,2005.0,,0.161,0.3547,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 2005 2882191393.0 2813788 2005 동구 및 CIS 우즈베키스탄 2005 2882191393.0 2813788
5,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101.csv,동구 및 CIS 우즈베키스탄 1996 830519513.0 1031983,1996.0,,0.161,0.3547,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101.csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 1996 830519513.0 1031983 1996 동구 및 CIS 우즈베키스탄 1996 830519513.0 1031983
6,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv,동구 및 CIS 우즈베키스탄 1996 830519513.0 1031983,1996.0,,0.161,0.3547,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 1996 830519513.0 1031983 1996 동구 및 CIS 우즈베키스탄 1996 830519513.0 1031983
7,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101.csv,동구 및 CIS 우즈베키스탄 2001 3001600180.0 2325326,2001.0,,0.161,0.3546,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101.csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 2001 3001600180.0 2325326 2001 동구 및 CIS 우즈베키스탄 2001 3001600180.0 2325326
8,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv,동구 및 CIS 우즈베키스탄 2001 3001600180.0 2325326,2001.0,,0.161,0.3546,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 2001 3001600180.0 2325326 2001 동구 및 CIS 우즈베키스탄 2001 3001600180.0 2325326
9,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101.csv,동구 및 CIS 우즈베키스탄 1994 392118915.0 487941,1994.0,,0.1609,0.3546,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101.csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 1994 392118915.0 487941 1994 동구 및 CIS 우즈베키스탄 1994 392118915.0 487941
10,우즈베키스탄,스마트팜,koica_oda,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv,동구 및 CIS 우즈베키스탄 1994 392118915.0 487941,1994.0,,0.1609,0.3546,농식품/스마트팜,추가 검증 필요,현지 농식품 유통·콜드체인·검역 조건을 먼저 확인하고 ODA/협력사업 연계형 파일럿 제안,한국국제협력단_KOICA 국가별 지원실적_20240101 (1).csv koica_oda 우즈베키스탄 동구 및 CIS 우즈베키스탄 1994 392118915.0 487941 1994 동구 및 CIS 우즈베키스탄 1994 392118915.0 487941
